Company,Type,HQ,Year Founded,Flagship Product,Estimated Revenue (M USD),Market Cap (M USD),EBITDA Margin %,P/S Ratio,EV/EBITDA,Crash Market Share %,GGR Take Rate %,Key Markets,Employees,Business Model,Key Differentiator,Public/Private
,,,,,,,,,,,,,,,,
═══ CRASH GAME PROVIDERS ═══,,,,,,,,,,,,,,,,
Spribe,Crash Provider,"Georgia → Warsaw/Malta",2018,Aviator,480-528,1500-2000 (est.),60-80%,~3-4x (est.),~4-5x (est.),~90%+,9% (raised from 7%),"India, Africa, LatAm, CIS",350,B2B GGR share,"380M total players, 60M MAU, EUR 160B wagers/2025, 350K bets/min",Private
SmartSoft,Crash Provider,Georgia,2015,JetX,15-30,N/A,N/A,N/A,N/A,3-5%,8-10%,"Europe, CIS",80-120,B2B GGR share,"3D graphics, JetX brand",Private
Aviatrix,Crash Provider,Malta,2022,Aviatrix,2-5,N/A,N/A,N/A,N/A,<1%,8-12%,"Europe, LatAm",20-40,B2B GGR share + NFT,"NFT skins, customizable planes",Private
BGaming,Multi-Provider,Curaçao,2018,"Space XY, Rocket Dice",20-40,N/A,N/A,N/A,N/A,<1%,8-10%,Global,100-150,B2B GGR share,"Provably fair, crypto-native",Private
Evoplay / Turbo Games,Multi-Provider,Ukraine/EU,2017,Turbo Crash Games,30-50,N/A,N/A,N/A,N/A,<1%,8-10%,"Europe, CIS",200+,B2B GGR share,"Innovation, turbo mechanics",Private
DraftKings (in-house),Operator + Provider,USA,2012,Rocket,500+ (total operator),18000,N/A (operator),"~5x (operator)",N/A,US only,N/A,USA,5000+,Operator (B2C),"US market monopoly on crash",Public (DKNG)
,,,,,,,,,,,,,,,,
═══ MAJOR GAME PROVIDERS (Benchmarks) ═══,,,,,,,,,,,,,,,,
Evolution Gaming,Live Casino + Slots,Sweden/Malta,2006,Lightning Roulette,2300 (EUR 2.07B),13400,66.1%,~4.9x,~13x,N/A (no crash),"Varies by product",Global regulated,20000+,B2B licensing + GGR share,"Live casino monopoly, MCap declined from $22B peak",Public (EVO.ST)
Pragmatic Play,Slots + Live + Crash,Malta/Gibraltar,2015,"Sweet Bonanza, Spaceman",750 (est.),N/A (private),45-55% (est.),N/A,N/A,~2% (Spaceman),7-12%,Global,5000+,B2B GGR share,"Massive slots portfolio, Spaceman + Big Bass Crash, 50% cashout feature",Private (Veridian/IBID)
Play'n GO,Slots,Sweden,2005,Book of Dead,300-400 (est.),N/A,40-50% (est.),N/A,N/A,N/A,8-12%,"Europe, LatAm",500+,B2B licensing,"Premium slots, mobile-first",Private
NetEnt / Red Tiger,Slots,Sweden/Malta,1996 / 2014,Starburst / Gonzo,Part of L&W (~$600M gaming),4500 (Light & Wonder),30-35%,~2.5x,~12x,N/A,8-12%,Global regulated,N/A,B2B licensing,"Legacy brands, Light & Wonder ecosystem",Public (LNW)
Hacksaw Gaming,Slots / Crash,Malta,2018,"Wanted Dead or Wild, Mines",100-200 (est.),N/A,50%+ (est.),N/A,N/A,<1%,8-10%,"Europe, LatAm",100+,B2B GGR share,"Instants / crash-like games",Private
,,,,,,,,,,,,,,,,
═══ TOP OPERATORS (by est. GGR) ═══,,,,,,,,,,,,,,,,
Flutter / FanDuel,Operator,Dublin/NYC,2019 (merger),FanDuel / Betfair,16400 (+17% YoY),35000,17%,"~2.1x",~12x,N/A,N/A,"USA, UK, EU, AUS",25000+,B2C operator,"World's largest, adj. EBITDA $2.8B",Public (FLUT)
Bet365,Operator,UK,2000,Bet365,3700 (GBP),N/A (private),25-30%,N/A,N/A,N/A,N/A,"UK, Europe, Asia",7000+,B2C operator,Largest private operator,Private
